"구분(1)",구분(2),구분(3),구분(4),2023.07,2023.08,2023.09,2023.10,2023.11,2023.12
"도시대기",충남,서산,독곶리,24,24,24,28,30,40
"도시대기",충남,서산,동문동,28,25,25,32,29,35
"도시대기",충남,서산,대산리,22,21,21,25,28,36
"도시대기",충남,서산,성연면,21,20,22,26,28,39
"도시대기",충남,아산,모종동,28,28,29,37,33,40
"도시대기",충남,아산,배방읍,32,32,34,39,32,38
"도시대기",충남,아산,도고면,27,28,29,40,35,45
"도시대기",충남,아산,둔포면,32,29,32,43,38,45
"도시대기",충남,아산,인주면,32,31,31,40,34,42
"도시대기",충남,아산,송악면,25,24,22,31,31,43
"도시대기",충남,논산,논산,26,24,20,27,29,38
"도시대기",충남,논산,연무읍사무소,19,20,19,28,27,36
"도시대기",충남,논산,성동면,19,22,21,44,34,50
"도시대기",충남,태안,이원면,33,31,29,29,31,37
"도시대기",충남,태안,태안읍,28,25,23,26,26,35
"도시대기",충남,태안,원북면,20,19,20,23,27,35
"도시대기",충남,보령,대천2동,20,20,20,23,22,28
"도시대기",충남,보령,주교면,20,23,22,29,30,40
"도시대기",충남,홍성,홍성읍,24,25,25,31,33,40
"도시대기",충남,홍성,내포,22,21,20,27,28,41
"도시대기",충남,공주,공주,22,21,21,27,27,36
"도시대기",충남,공주,탄천면,25,26,26,46,32,39
"도시대기",충남,부여,부여읍,25,25,22,28,28,35
"도시대기",충남,청양,청양읍,24,25,22,29,32,36
"도시대기",충남,청양,정산면사무소,20,21,18,27,29,41
"도시대기",충남,금산,금산읍,20,23,24,28,28,35
"도시대기",충남,예산,예산군,22,21,21,28,25,36
"도시대기",충남,예산,삽교읍,26,28,28,41,35,43
"도시대기",충남,예산,고덕면,18,22,27,40,34,43
"도시대기",충남,계룡,엄사면,19,22,19,26,27,41
"도시대기",충남,서천,서천읍,19,22,19,29,28,39
"도시대기",충남,서천,서면,20,25,21,23,24,29
"도시대기",충남,서천,장항읍,21,24,21,27,27,37
"도시대기",전북,임실,임실읍,19,19,23,29,26,31
"도시대기",전북,임실,관촌면,21,24,19,24,26,31
"도시대기",전북,전주,효자동,25,27,27,34,30,36
"도시대기",전북,전주,삼천동,21,31,23,31,32,40
"도시대기",전북,전주,팔복동,27,29,31,37,34,40
"도시대기",전북,전주,노송동,19,24,21,30,29,37
"도시대기",전북,전주,송천동,20,25,28,34,32,38
"도시대기",전북,전주,혁신동,23,24,24,32,29,34
"도시대기",전북,전주,여의동,25,28,31,40,36,36
"도시대기",전북,군산,신풍동,23,24,24,32,32,37
"도시대기",전북,군산,소룡동,22,27,26,39,35,40
"도시대기",전북,군산,사정동,21,26,25,37,33,37
"도시대기",전북,군산,옥산면,21,24,24,31,27,32
"도시대기",전북,군산,비응도동,24,28,30,35,32,39
"도시대기",전북,군산,소룡동2,20,23,26,30,28,36
"도시대기",전북,익산,함열읍,26,27,29,43,39,45
"도시대기",전북,익산,팔봉동,27,27,27,36,31,38
"도시대기",전북,익산,모현동,22,23,24,38,35,44
"도시대기",전북,익산,삼기면,24,28,25,38,33,39
"도시대기",전북,익산,용동면,32,34,29,41,33,42
"도시대기",전북,익산,춘포면,20,28,26,38,35,43
"도시대기",전북,익산,여산면,24,24,22,28,25,33
"도시대기",전북,남원,죽항동,22,24,27,33,27,34
"도시대기",전북,남원,운봉읍,22,25,23,29,26,28
"도시대기",전북,정읍,연지동,20,22,21,26,26,33
"도시대기",전북,정읍,신태인,25,30,26,33,28,36
"도시대기",전북,정읍,영파동,26,30,27,30,29,39
"도시대기",전북,고창,고창읍,28*,27,26,24,24,33
"도시대기",전북,고창,심원면,24,30,27,26,26,34
"도시대기",전북,부안,부안읍,22,27,27,34,31,39
"도시대기",전북,부안,계화면,18,23,24,32,29,33
"도시대기",전북,김제,요촌동,21,24,24,31,29,37
"도시대기",전북,김제,광활면,20,25,25,37,27,33
"도시대기",전북,완주,고산면,20,23,21,28,25,32
"도시대기",전북,완주,봉동읍,22,22,22,29,27,34
"도시대기",전북,완주,구이면,21,23,20,24,23,30
"도시대기",전북,진안,진안읍,20,20,18,24,25,29
"도시대기",전북,무주,무주읍,24,22,18,18,18,25
"도시대기",전북,순창,순창읍,19,25,24,27,23,21
"도시대기",전북,장수,장수읍,17,21,20,29,28*,32
"도시대기",전남,화순,화순읍,18,19,18,20,20,27
"도시대기",전남,여수,서강동,18,18,16,23,22,31
"도시대기",전남,여수,월내동,26,23,21,26,26,32
"도시대기",전남,여수,문수동,18,17,16,21,20,28
"도시대기",전남,여수,여천동,20,17,17,21,19,25
"도시대기",전남,여수,덕충동,21,19,18**,31**,21,31
"도시대기",전남,여수,화양면,19,17,16,23,21,30
"도시대기",전남,여수,율촌면,22,19,19,24,23,31
"도시대기",전남,여수,삼일동,18,17,18,24,23,30
"도시대기",전남,광양,중동,27,22,22,27,27,33
"도시대기",전남,광양,태인동,25,18,14,19,21,26
"도시대기",전남,광양,봉강면,21,19,17,16,16,23
"도시대기",전남,광양,광양읍,21,19,17,18,19,25
"도시대기",전남,광양,진월면,24,21,19,24,22,27
"도시대기",전남,순천,장천동,15,15,15,19,20,25
"도시대기",전남,순천,연향동,15,15,15,19,22*,27
"도시대기",전남,순천,순천만,18,19,19,22,20,25
"도시대기",전남,순천,호두리,22,20,22,23,21,28
"도시대기",전남,순천,신대,21,18,16,19,18,23
"도시대기",전남,목포,용당동,22,21,21,24,22,29
"도시대기",전남,목포,부흥동,25,24,18,21,20,26
"도시대기",전남,영암,영암읍,16,25,26,33,32,39
"도시대기",전남,영암,대불,25,28,39,48,45,57
"도시대기",전남,나주,빛가람동,26,28,27,34,31,39
"도시대기",전남,담양,담양읍,23,29,29,35,29,32
"도시대기",전남,장성,장성읍,16,22,27,35,30,32
"도시대기",전남,해남,해남읍,22,26,22,30**,25,36
"도시대기",전남,영광,영광읍,23,24,26,26,24,31
"도시대기",전남,장흥,장흥읍,21,23,21,21,21,30
"도시대기",전남,진도,진도읍,18,17,18,20,19,29
"도시대기",전남,완도,신지면,20,19,18,22,21,27
"도시대기",전남,함평,함평읍,18,19,19,25,22,27
"도시대기",전남,고흥,고흥읍,18,19,18,23,21,25
"도시대기",전남,신안,신안군,17,17,18,23,21,29
"도시대기",전남,무안,무안읍,23,24,26,33,31,39
"도시대기",전남,강진,강진읍,24,24,22,22,21,27
"도시대기",전남,곡성,곡성읍,18,18,17,23,23,29
"도시대기",전남,구례,구례읍,17,17,20,26,24,29
"도시대기",전남,보성,벌교읍,17,21,21,25,22,28
"도시대기",전남,보성,보성읍,21,23,20,24,24,31
"도시대기",경북,영덕,영덕읍,22,18,13,16,18,22
"도시대기",경북,영덕,영해면,23,19,16,20,23,26
"도시대기",경북,영천,영천시,29,23,23,30,30,33
"도시대기",경북,의성,의성읍,23,20,19,22,27,31
"도시대기",경북,의성,안계면사무소,22,20,19,26,30,34
"도시대기",경북,포항,장흥동,30,30,28,31,27,33
"도시대기",경북,포항,장량동,-,-,16,26,28,34
"도시대기",경북,포항,대도동,30,29,26,37,37,43
"도시대기",경북,포항,대송면,28,27,25,31,31,31
"도시대기",경북,포항,3공단,-,-,29,40,37,43
"도시대기",경북,포항,송도동,30,31,29,36,33**,39
"도시대기",경북,포항,오천읍,26,28,26,34,35,38
"도시대기",경북,포항,청림동,35,33,34,48,46,46
"도시대기",경북,포항,연일읍,29,28,24,31,30,35
"도시대기",경북,포항,제철동,29,30,32,46,39,41
"도시대기",경북,포항,양덕동,-,-,-,-,26,34
"도시대기",경북,구미,공단동,32,23,22,32,36,40
"도시대기",경북,구미,원평동,28,25,27**,-,36,44
"도시대기",경북,구미,형곡동,27,24,24,29,35,41
"도시대기",경북,구미,4공단,22,23,23,30,32,38
"도시대기",경북,구미,진미동,32,31,33,41,43,48
"도시대기",경북,김천,대광동,27,24,23,31,35,43
"도시대기",경북,김천,평화남산동,24,20,32,41,43,52
"도시대기",경북,김천,율곡동,28,26,25,33,35,42
"도시대기",경북,경주,성건동,26,20,18,26,28,38*
"도시대기",경북,경주,보덕동,17,13,12,17,18,24
"도시대기",경북,경주,안강읍,19,14,14,25,23,27
"도시대기",경북,경주,외동읍,23,17,18,27,28,31
"도시대기",경북,안동,명륜동,26,23,20,26,31,35
"도시대기",경북,영주,가흥동,33,39,36,39,40,43
"도시대기",경북,영주,영주동,24,29,32,38,42,48
"도시대기",경북,경산,중방동,27,22,20,27,30,35
"도시대기",경북,경산,하양읍,29,25,24,27,29,34
"도시대기",경북,경산,진량읍,31,23,23,31,34,40
"도시대기",경북,상주,상주시,26,23,16,25,29,33
"도시대기",경북,칠곡,칠곡군,28,21,20,30,32,37
"도시대기",경북,울진,울진군,23,20,19,22,24,27
"도시대기",경북,봉화,석포면,18,15,13,18,21,24
"도시대기",경북,봉화,봉화군,19,16,14,20,23,24
"도시대기",경북,울릉,울릉읍,15,16,17,23,22,24
"도시대기",경북,고령,대가야읍,25,23,23,27,27,35
"도시대기",경북,성주,성주군,24,22,24,28,30,34
"도시대기",경북,예천,예천군,28,25,25,26,28,29
"도시대기",경북,청도,화양읍,23,18,17,21,24,27
"도시대기",경북,청송,청송군,23,19,18,20,25,28
"도시대기",경북,영양,영양군,19,15,16,24,26,28
"도시대기",경북,문경,문경시,20,17,19,24,28,32
"도시대기",경남,창원,명서동,32,26,22,23,24,28
"도시대기",경남,창원,웅남동,27,22,19,23,23,26
"도시대기",경남,창원,성주동,23,21,19,20,21,24
"도시대기",경남,창원,용지동,22,20,18,22,24,30
"도시대기",경남,창원,사파동,18,16,16,21,23,31
"도시대기",경남,창원,경화동,20,18,16,19,19,27
"도시대기",경남,창원,회원동,21,20,21,25,26,33
"도시대기",경남,창원,봉암동,19,18,18,21,22,28
"도시대기",경남,창원,월영동,23,23,19,18,18,22
"도시대기",경남,창원,내서읍,19,18,16,19,21,29
"도시대기",경남,진주,상봉동,19,16,16,21,23,29
"도시대기",경남,진주,대안동,20,20,19,26,25,34
"도시대기",경남,진주,상대동,31,25,22,25,25,30
"도시대기",경남,진주,정촌면,19,16,17,26,25,33
"도시대기",경남,하동,하동읍,25,22,17,19,18,22
"도시대기",경남,하동,금성면,26,21,16,16,16,20
"도시대기",경남,김해,동상동,22,19,18,24,26,33
"도시대기",경남,김해,삼방동,17,17,18,26,27,35
"도시대기",경남,김해,장유동,24,22,20,24,39**,-
"도시대기",경남,김해,진영읍,26,25,21,25,27,32
"도시대기",경남,양산,북부동,23,20,16,21,21,25
"도시대기",경남,양산,삼호동,23,20,17,22,22,35
"도시대기",경남,양산,물금읍,19,18,17,25,27,35
"도시대기",경남,거제,아주동,17,16,16,18,18,26
"도시대기",경남,거제,고현동,16,16,16,20,21,29
"도시대기",경남,사천,사천읍,21,-,-,-,-,-
"도시대기",경남,사천,향촌동,18,17,16,22,22,29
"도시대기",경남,밀양,내일동,20,17,18,21,23,28
"도시대기",경남,통영,무전동,18,18,17,20,21,26
"도시대기",경남,고성,고성읍,17,18,20,24,23,29
"도시대기",경남,거창,거창읍,21,22,22,26,24,29
"도시대기",경남,함안,가야읍,18,19,21,25,25,31
"도시대기",경남,함양,함양읍,19,20,19,24,22,27
"도시대기",경남,남해,남해읍,16,18,18,21,21,26
"도시대기",경남,산청,산청읍,-,18,15,17,17,20
"도시대기",경남,의령,의령읍,21,18,17,20,18,23
"도시대기",경남,창녕,창녕읍,26,22,21,26,23,28
"도시대기",경남,합천,합천읍,28,24,21,23,23,28
"도시대기",제주,제주,이도동,17,18,20,23,26,29
"도시대기",제주,제주,연동,17,18,19,26,29,33
"도시대기",제주,제주,조천읍,19,20,21,25,27,32
"도시대기",제주,제주,한림읍,18,20,20,23,25,30
"도시대기",제주,제주,화북동,17,18,19,23,25,28
"도시대기",제주,제주,애월읍,15,17,19,23,25,31
"도시대기",제주,서귀포,동홍동,26,19,17,19,19,26
"도시대기",제주,서귀포,성산읍,22,24,22,22,21,25
"도시대기",제주,서귀포,대정읍,26,21,19,20,22,27
"도시대기",제주,서귀포,남원읍,19,22,21,23,25,31
"도시대기",제주,서귀포,강정동,24,22,23,22,19,23
"국가배경농도",인천,옹진군,백령도,23,18,23,27,23,34
"국가배경농도",인천,옹진군,연평도,24,18,20,24,22,30
"국가배경농도",인천,옹진군,울도,20,17,17,27,33,38
"국가배경농도",충남,보령,외연도,16,15,17,27,35,40
"국가배경농도",전남,영광,안마도,20,19,19,30,36,41
"국가배경농도",전남,신안,홍도,18,22,20*,32,41,47
"국가배경농도",전남,신안,가거도,14*,18,24,32,37,46
"국가배경농도",전북,군산,말도,19**,23,24,31,31,37
"국가배경농도",경북,울릉군,태하리,18,17,18,27,28,30
"국가배경농도",제주,제주,고산리,22,22,22,27,30,34
"교외대기",인천,강화군,석모리,18,15*,24,36,36,42
"교외대기",인천,옹진군,덕적도,20,17,21,27,27,32
"교외대기",경기,이천,설성면,33,28,28,37,37,45
"교외대기",경기,파주,파주,21,17*,20,39,40,47
"교외대기",경기,포천,관인면,24,16*,20,24,27,31
"교외대기",경기,연천,연천(DMZ),18,18,20,33,34,39
"교외대기",강원,양구,방산면,23,14,15,23,25,30
"교외대기",강원,고성,간성읍,25,14,17,29,26,27
"교외대기",강원,고성,인제(DMZ),35,21,24,31,24,46**
"교외대기",강원,고성,고성(DMZ),21,12,17,25,24,28
"교외대기",강원,정선,북평면,24,17,18,25,27,30
"교외대기",강원,횡성,치악산,17,14,14,22,27,32
"교외대기",강원,철원,철원(DMZ),25,15,18,25,30,34
"교외대기",강원,화천,화천(DMZ),26,15,19,31,28,32
"교외대기",충북,괴산,청천면,19,16,19,24,34,38
"교외대기",충북,음성,금왕,22,32,35,46,48,55
"교외대기",충남,태안,파도리,26,28,28,42,47,48
"교외대기",충남,공주,사곡면,20,22,18,24,25,32
"교외대기",전북,임실,운암면,16,15,16,21,22,30
"교외대기",전북,부안,새만금,18,21,23,30,27,38
"교외대기",전남,화순,송단리,14,15,16,18,21,23
"교외대기",경북,영덕,강구면,22,17,16,22,23,28
"교외대기",경북,영천,화북면,21,14*,16,22,23,28
"교외대기",경북,의성,안계면,20,18,19,29,34**,-
"교외대기",경남,창원,대산면,23,19*,20*,27,29,35
"교외대기",경남,거제,저구리,12,12,11,23,23,28
"교외대기",경남,거창,남상면,21,18,15,26,25,33*
"도로변대기",서울,서울,한강대로,32,27,26,35,34,42
"도로변대기",서울,서울,청계천로,35,27,23,32,34,39
"도로변대기",서울,서울,종로,27,22,22,27,29,35
"도로변대기",서울,서울,홍릉로,28,23,22,31,32,36
"도로변대기",서울,서울,신촌로,30,25,25,33,34,40
"도로변대기",서울,서울,영등포로,29,24,24,32,32,37
"도로변대기",서울,서울,도산대로,25,21,21,30*,36,42
"도로변대기",서울,서울,천호대로,26,22,22,29,34,39
"도로변대기",서울,서울,강남대로,23,17,19,30,37,42
"도로변대기",서울,서울,강변북로,26,20,19,30,33,38
"도로변대기",서울,서울,화랑로,30,25,24,30,31,37
"도로변대기",서울,서울,공항대로,28,23,23,31,34,38
"도로변대기",서울,서울,동작대로,29,25,25,32,34,41
"도로변대기",서울,서울,정릉로,34,25,23,29,33,40
"도로변대기",서울,서울,시흥대로,29,26,25,33,34,40
"도로변대기",서울,서울,시도평균,29,23,23,31,33,39
"도로변대기",부산,부산,온천동,25,22,20,28,31,38
"도로변대기",부산,부산,초량동,24,20,19,24,25,31
"도로변대기",부산,부산,삼락동,22,22,21,26,30,37
"도로변대기",부산,부산,우동,-,-,-,-,27*,32
"도로변대기",부산,부산,시도평균,24,21,20,26,28,35
"도로변대기",대구,대구,평리동,24,18,22,33,38,45
"도로변대기",대구,대구,이곡동,24,19,20,32,34,42
"도로변대기",대구,대구,충혼탑,25,17,18,25,30,35
"도로변대기",대구,대구,시도평균,24,18,20,30,34,41
"도로변대기",인천,인천,석바위,29,25,24,33,34,37
"도로변대기",인천,인천,부평역,35,32,45,45,45,52
"도로변대기",인천,인천,송현,33,28,27,32,35,41
"도로변대기",인천,인천,서해,32,28,32,42,45,51
"도로변대기",인천,인천,남동,28,23,24,33,38,47
"도로변대기",인천,인천,중봉,32,25,25,34,35,40
"도로변대기",인천,인천,임학,-,-,32**,41,43,50
"도로변대기",인천,인천,시도평균,31,27,29,37,39,45
"도로변대기",광주,광주,치평동,21,21,22,34,32,39
"도로변대기",광주,광주,운암동,19,22,23,36,28,25
"도로변대기",광주,광주,시도평균,20,21,23,35,30,32
"도로변대기",대전,대전,대흥동1,23,23,21,28,32,43
"도로변대기",대전,대전,월평동,22,22,20,28,29,39
"도로변대기",대전,대전,시도평균,23,22,20,28,30,41
"도로변대기",울산,울산,신정로,23,20,19,22,24,31
"도로변대기",울산,울산,북부순환도로,24,21,17,20,24,28
"도로변대기",울산,울산,시도평균,24,20,18,21,24,29
"도로변대기",세종,세종,보람동,20,22,26,34,26,35
"도로변대기",경기,수원,경수대로(동수원),29,24,24,32,34,40
"도로변대기",경기,성남,성남대로(모란역),30,25,25,31,33,39
"도로변대기",경기,성남,대왕판교로(백현동),27,23,23,26,30,37
"도로변대기",경기,안산,중앙대로(고잔동),33,30,29,29,34,35
"도로변대기",경기,고양,백마로(마두역),34,27,28,40,41,47
"도로변대기",경기,시흥,서해안로,30,25,25,34,33,40
"도로변대기",경기,부천,송내대로(중동),25,21,21,36,39,47
"도로변대기",경기,남양주,경춘로,31,25,26,40,44,49
"도로변대기",경기,용인,중부대로(구갈동),24,20,20,30,34,41
"도로변대기",경기,김포,한강로,30,22,26,37,37,44
"도로변대기",경기,오산,금암로(신장동),29,25,25,33,33,38
"도로변대기",경기,시도평균,소계,29,24,25,34,36,42
"도로변대기",강원,춘천,온의동,23,17,18,27,31,38**
"도로변대기",충북,청주,복대동,29,30,28,39,40,52
"도로변대기",충남,천안,성성동,32,31,29,39,35,43
"도로변대기",충남,당진,복운리,24,25,26,38,38,46
"도로변대기",충남,아산,장재리,22,21,21,33,36,48
"도로변대기",충남,시도평균,소계,26,26,25,36,36,46
"도로변대기",전북,전주,서신동,19,20,21,32,32,38
"도로변대기",전북,익산,금마면,24,24,23,27,27,37
"도로변대기",전북,시도평균,소계,21,22,22,29,29,37
"도로변대기",경북,포항,우현동,24,20,20,30,29,34
"도로변대기",경남,창원,삼진로,18,17,18,23,23,28
"도로변대기",경남,창원,반송로,24,21,19,23,25,29
"도로변대기",경남,김해,김해대로,26,24,22,26,26,31
"도로변대기",경남,시도평균,소계,23,21,20,24,25,29
"도로변대기",제주,제주,노형로,18,20,20,25,28,33
